region;country;comment
Bolton;England;
Bombay;India;
Bonn;Germany;
Bontfaen;England;
Bordeaux;France;
Boston;Ambiguous;England|USA;
Boston MA;USA;
Bosworth;England;
Bottisham;England;
Bouillon;Belgium;
Boulogne;France;
Brackley;England;
Bradford;England;
Brändö;Finland;
Braniewo;Poland;
Brattleborough VT;USA;
Brattleboro VT;USA;
Braunschweig;Germany;
Brearley Hall;England;
Bremen;Germany;
Brentford;England;
Breslau;Poland;
Bridgeport CT;USA;
Bridgeton N.J;USA;
Bridgeton N\.J;USA;
Bridgeton NJ;USA;
Bridgetown ;Barbados;
Bridgetown;Barbados;
Bridgetown Barbados;Barbados;
Bridgewater MA;USA;
Bridgnorth;England;
Bridlington;England;
Bridport;England;
Brigg;England;
Brighton;England;
Brisbane;Australia;
Bristol;England;
Bromley;England;
Bronx NY;USA;
Brookfield MA;USA;
Brookfield MA;USA;
Brooklyn NY;USA;
Brookville PA;USA;
Bruges;Belgium;
Brunn;Germany;
Brunswick MA;USA;
Brussels;Belgium;
Buckden;England;
Buckingham;England;
Budapest;Hungary;
Buenos Aires;Argentina;
Bungay;England;
Bunny;England;
Burlington NJ;USA;
Burlington VT;USA;
Burnley;England;
Burslem;England;
Burton;England;
Bury;England;
Bury St Edmunds;England;
Bury St. Edmunds;England;
Cadiz;Spain;
Caen;France;
Caerdydd;England;
Caerfyrddin;England;
Caergybi;England;
Caerleon;England;
Caernarfon;England;
Caernarfon;Ireland;
Calais;France;
Calcutta;India;
Calicut;India;
Calne;England;
Calumet MI;USA;
Cambridge;Ambiguous;England|USA;
Cambridge MA;USA;
Cambridge MA;USA;
Campbeltown;Scotland;
Canaan NY;USA;
Canandaigua NY;USA;
Canterbury;England;
Canterbury N.H;USA;
Canterbury NH;USA;
Cape Town;South Africa;
Cap Haitien;Haiti;
Cardiff;England;
Carlisle;England;
Carlisle PA;USA;
Carlisle PA;USA;
Carlow;England;
Carlow;Ireland;
Carlstad;Sweden;
Carmarthen;England;
Carmarthen;Ireland;
Carnarvon;England;
Carrickfergus;Northern Ireland;
Carrick-on-Suir ;Ireland;
Carron;Scotland;
Cashel;Ireland;
Cassel;France;
Castine ME;USA;
Castine ME;USA;
Castlebar;Ireland;
Castleford;England;
Castries;Saint Lucia;
Catskill NY;USA;
Cavan;Ireland;
Celle;Germany;
Chambersburg PA;USA;
Chambersburg PA;USA;
Charleston SC;USA;
Charlestown MA;USA;
Charlestown MA;USA;
Charlottesville;;
Charlottesville VA;USA;
Charlottetown;Canada;
Charlottetown Pe;USA;
Chatham;England;
Chatham N.J;USA;
Chatham N\.J;USA;
Chatham NJ;USA;
Chelmsford;England;
Chelmsford MA;USA;
Chelmsford MA;USA;
Chelsea;England;
Cheltenham ;England;
Cheltenham;England;
Chennai;India;
Chepstow;England;
Chertsey;England;
Chesam;England;
Chesham;England;
Cheshire CT;USA;
Cheshunt;England;
Chesire CT;USA;
Chesire CT;USA;
Chester;England;
Chesterfield;England;
Chestertown MD;USA;
Chestnut Hill PA;USA;
Chicago IL;USA;
Chicago;USA;
Chichester;England;
Chillicothe Oh;USA;
Chillicothe OH;USA;
Chippenham ;England;
Chippenham;England;
Chisholm MN;USA;
Christiansted VI;USA;
Cincinnati Oh;USA;
Cincinnati OH;USA;
Cirencester;England;
Ciutadella;Spain;
Clear Creek UT;USA;
Cleveland OH;USA;
Clifton;England;
Clipstone;England;
Clones;Ireland;
Clonmel;Ireland;
Cluj-Napoca;Romania;
Coburg;Germany;
Coimbra;Portugal;
Colchester;England;
Coleraine;Northern Ireland;
Cologne;Germany;
Colombo;Sri Lanka;
Columbia S.C;USA;
Columbia S\.C;USA;
Columbia SC;USA;
Concord MA;USA;
Concord MA;USA;
Concord N.H;USA;
Concord N\.H;USA;
Concord NH;USA;
Concord NJ;USA;
Congleton;England;
Constance;Germany;
Cooperstown NY;USA;
Copenhagen;Denmark;
Cork;England;
Cork;Ireland;
Coventry;England;
Cowbridge;England;
Coxheath;England;
Cranbrook;Canada;
Crewekerne;England;
Crewkerne;England;
Cricklade;England;
Crieff;Scotland;
Croesoswallt;England;
Cupar;Scotland;
Dalry;Scotland;
Dampierre-sur-Boutonne;France;
Danbury CT;USA;
Danbury CT;USA;
Dantzig;Poland;
Danvers MA;USA;
Danvers MA;USA;
Darlington;England;
Darmstadt;Germany;
Dartford;England;
Dartmouth;England;
Daventry;England;
Deal;England;
Dedham MA;USA;
Dedham MA;USA;
Delft;Netherlands;
Denbigh;England;
Den Haag;Netherlands;
Deptford;England;
Derby;England;
Dereham;England;
Dessau;Germany;
Detroit Mi;USA;
Deventer;Netherlands;
Devizes;England;
Devon;England;
Devonport;England;
Dewsbury;England;
Dieppe;France;
Dieren;Netherlands;
Dijon;France;
Dillingen;Germany;
Dolgellau;England;
Doncaster;England;
Dorchester;England;
Dordrecht;Netherlands;
Dorking;England;
Dorset;England;
Dort;Netherlands;
Douai;France;
Douglas;Isle of Man;
Douglas;Scotland;
Dover;England;
Dover NH;USA;
Downham;England;
Downpatrick;Ireland;
Dresden;Germany;
Dresden ME;USA;
Dressden;Germany;
Drogheda;Ireland;
Drumfries;Scotland;
Dublin;France;
Dublin;Ireland;
Dudley;England;
Duluth MN;USA;
Dumfries;Scotland|USA;
Dumfries VA;USA;
DumfriesVA;USA;
Dunbar;Scotland;
Duncannon;Ireland;
Dundee;Scotland;
Dunfermline;Scotland;
Dungannon;Northern Ireland;
Dunkalk;Ireland;
Dunkeld;Scotland;
Dunkirk;France;
Duns;Scotland;
Dunstable;England;
Durham;England;
Eartham;England;
Eastbourne ;England;
East Grinstead;England;
East Molesey;England;
Easton MD;USA;
Easton PA;USA;
East-Windsor CT;USA;
Edenhall;England;
Edenton NC;USA;
Edinburgh;Scotland;
Egham;England;
Elbingen;Germany;
Elgin;Scotland;
Elie;Scotland;
Elizabeth NJ;USA;
Elizabethtown MD;USA;
Elizabethtown NJ;USA;
Ellesmere;England;
Ely;England;
Ely MI;USA;
Emden;Germany;
England;England;
Ennis;Ireland;
Enniskillen;Northern Ireland;
Ephrata PA;USA;
Epsom;England;
Erfurt;Germany;
Erlangen;Germany;
Eshott;England;
Espoo;Finland;
Essex;England;
Eton;England;
Eura;Finland;
Eveleth MI;USA;
Evesham;England;
Ewood Hall;England;
Exeter;England;
Exeter;England|USA;
Exeter NH;USA;
Fairfield CT;USA;
Fairhaven VT;USA;
Falkirk;England;
Falkirk;Scotland;
Falmouth ME;USA;
Falun;Sweden;
Faringdon;England;
Farmington CT;USA;
Farnham;England;
Fawsley;England;
Fayetteville NC;USA;
Featherstone;England;
Fermoy;Ireland;
Fersfield;England;
Fincastle VA;USA;
FincastleVA;USA;
Finningham;England;
Firenze;Italy;
Fishkill NY;USA;
Fitchburg MA;USA;
Fleet;England;
Flensburg;Germany;
Florence;Italy;
Flushing;England;
Folkestone;USA;
Forssa;Finland;
Fort McHenry Ms;USA;
Fort Royal;Martinique;
France;France;
Frankfort KY;USA;
Frankfurt am Main;Germany;
Frankfurt an der Oder;Germany;
Frankfurt;Germany;
Frederick MD;USA;
Fredericktown MD;USA;
Fredericton;Canada;
Fredicksburg VA;USA;
Fredicksburg VA;USA;
Freetown;Sierra Leone;
Freiburg im Breisgau;Germany;
Friedensthal PA;USA;
Frome;England;
Fryeburg ME;USA;
Furth;Germany;
Gainsborough;England;
Galway;Ireland;
Gateshead;England;
Gateside;Scotland;
Gaunt;unknown;
Gaznah;Iraq;
Gdansk;Poland;
Gefle;Sweden;
Geneva NY;USA;
Geneva;Switzerland;
Geneva;Switzerland|USA;
Geneve;Switzerland;
Genoa;Italy;
Georgetown DC;USA;
Georgetown SC;USA;
Georgetown VA;USA;
Gera;Germany;
Germantown PA;USA;
Germantown PA;USA;
Germany;Germany;
Gettysburg PA;USA;
Ghent;Belgium;
Giessen;Germany;
Gillingham;England;
Gilmanton N.H;USA;
Gilmanton NH;USA;
Glasgow;Scotland;
Glastonbury;England;
Glaucester;England;
Glocester;England;
Glocester MA;USA;
Gloucester;England;
Gloucester MA;USA;
Goa;India;
Godby;Finland;
Goshen NY;USA;
Gosport;England;
Gotha;Germany;
Gothenburg;Sweden;
Göttingen;Germany;
Gouda;Netherlands;
Grand Rapids MI;USA;
Grantham;England;
Gravesend;England;
Great Marlow;England;
Greenfield;England;
Greenfield MA;USA;
Greenfield MA;USA;
Greenlaw;Scotland;
Greenock;Scotland;
Greensburg PA;USA;
Greenwich;England;
Greifswald;Germany;
Grenada;Grenada;
Guernesey;Guernesey;
Guildford;England;
Gutersloh;Germany;
Haapajärvi;Finland;
Haaparanta;Finland;
Haarlem;Netherlands;
Haddington;Scotland;
Haderslev;Denmark;
Hagerstown MD;USA;
Hagley;England;
Halberstadt;Germany;
Halesworth;England;
Halifax;Canada;
Halifax;England|USA;
Halifax NC;USA;
Halifax NS;USA;
Halle;Germany;
Hallowell MA;USA;
Hallowell ME;USA;
Hamburg;Germany;
Hämeenkyrö;Finland;
Hämeenlinna;Finland;
Hamina;Finland;
Hampuri;Germany;
Hanau;Germany;
Hancock MI;USA;
Hanko;Finland;
Hankoniemi;Finland;
Hanley;England;
Hanna WY;USA;
Hannover;Germany;
Hannover NH;USA;
Hanover;Germany|USA;
Hanover NH;USA;
Harbor OH;USA;
Harborough;England;
Harderwijk;Netherlands;
Harford MD;USA;
Harjavalta;Finland;
Harlech;England;
Harlow;England;
Härnösand;Sweden;
Harrisburgh PA;USA;
Harrisburgh PA;USA;
Harrisburg PA;USA;
Harrogate;England;
Hartford CT;USA;
Hartford CT;USA;
Hastings;England;
Hatfield;England;
Haukilahti;Finland;
Haunia;Finland;
Havanna;Cuba;
Haverhill MA;USA;
Haverhill MA;USA;
Haverhill N.H;USA;
Haverhill N\.H;USA;
Haverhill NH;USA;
Hawick;Scotland;
Heidelberg;Germany;
Heilbronn;Germany;
Heinäjoki;Finland;
Heinävesi;Finland;
Heinola;Finland;
Helmstadt;Germany;
Helmstedt;Germany;
Helsingborg;Sweden;
Helsingör;Denmark;
Helsinki;Finland;
Helston;England;
Hemel Hempstead;England;
Henfield;England;
Henley-on-Thames;England;
Hereford;England;
Herford;Germany;
Hertford;England;
Hexam;England;
Hexham;England;
High Wycombe ;England;
High Wycombe;England;
Hildburghausen;Germany;
Hillsborough N.C;USA;
Hillsborough N\.C;USA;
Hillsborough NC;USA;
Hinckley;England;
Hindolverston;England;
Hinnerjoki;Finland;
Hirvensalmi;Finland;
Hitchin;England;
Holt;Germany;
Honiton;England;
Hoogly;India;
Horncastle;England;
Horsham;England;
Houghton MI;USA;
Houghton Park;England;
Howden;England;
Huddersfield;England;
Hudson N.Y;USA;
Hudson N\.Y;USA;
Hudson NY;USA;
Hull;England;
Hungerford;England;
Huntingdon;England;
Huntingdon PA;USA;
Huopalahti;Finland;
Hvitträsk;Finland;
Hwlffordd;England;
Hyvinkää;Finland;
Iisalmi;Finland;
Ikaalinen;Finland;
Ilmajoki;Finland;
Ilminster;England;
Imatra;Finland;
Impilahti;Finland;
Inari;Finland;
Inishmacadurn;Ireland;
Inkerinmaa;Finland;
Inkeri;Russia;
Inkoo;Finland;
Inverary;Scotland;
Inverlochie;Scotland;
Inverness;Scotland;
Ipswich;England;
Ipswich England;England;
Ireland;Ireland;
Ironwood MI;USA;
Irvine;Scotland;
Ísafjördur;Iceland;
Ishpeming MI;USA;
Isokyrö;Finland;
Istanbul;Turkey;
Jaakkima;Finland;
Jääski;Russia;
Jacksonburgh S.C;USA;
Jacksonburgh S\.C;USA;
Jacksonburgh SC;USA;
Jacobson MI;USA;
Jalasjärvi;Finland;
Jamaica;Jamaica;
Jämsä;Finland;
Janakkala;Finland;
Jedburgh;Scotland;
Jelgava;Latvia;
Jena;Germany;
Jersey City NJ;USA;
Jerusalem;Israel;
Joensuu;Finland;
Johnstown NY;USA;
Jönnköping;Sweden;
Jurjew;Latvia;
Juva;Finland;
Jyväskylä;Finland;
Kainuu;Finland;
Kajaani;Finland;
Käkisalmi;Finland;
Kaleva;Finland;
Kaleva MI;USA;
Kaliningrad;Russia;
Kaliningrad;Russia #huom!;
Kallislahti;Finland;
Kangasala;Finland;
Kaprio;Finland;
Karhula;Finland;
Karjaa;Finland;
Karjalohja;Finland;
Karkku;Finland;
Karlskrona;Sweden;
Karlsruhe;Germany;
Karlstad;Sweden;
Karstula;Finland;
Kaskinen;Finland;
Kassel;Germany;
Kauhajoki;Finland;
Kaukaa;Finland;
Kausala;Finland;
Kauvatsa;Finland;
Kazan;Russia;
Keene;England;
Keene N.H;USA;
Keene N\.H;USA;
Keene NH;USA;
Kehl;Germany;
Kelso;Scotland;
Keltto;Finland;
Kemi;Finland;
Kendal;England;
Kenilworth;England;
Kent;England;
Keswick;England;
Kettering;England;
Kettuvaara;Finland;
Kharkiv;Ukraine;
Kidderminister;England;
Kidderminster;England;
Kiel;Germany;
Kiiminki;Finland;
Kildare;Ireland;
Kilkenny;Ireland;
Killingworth CT;USA;
Kilmarnock;Ireland;
King's Lynn;England;
Kings Lynn;England;
Kingston;Jamaica|England;
Kingston Jamaica;Jamaica|England|USA;
Kingston N.Y;USA;
Kingston N\.Y;USA;
Kingston NY;USA;
Kingstown;St Vincent;
Kinlocheil;Scotland;
Kinnaird;Scotland;
Kinross;Scotland;
Kinsale;Ireland;
Kirchhain;Germany;
Kirkbride;Scotland;
Kirkcaldy;Scotland;
Kirkcudbright;Scotland;
Kirkham;England;
Kirkkonummi;Finland;
Kirvu;Finland;
Kivennapa;Finland;
Knaresborough;England;
Knoxville OH;USA;
Knoxville Tn;USA;
Knutsford;England;
Kodisjoki;Finland;
Koivisto;Finland;
Koivulahti;Finland;
Kokemäki;Finland;
Kokkola;Finland;
Köln;Germany;
Koningsberg;Germany;
Kööpenhamina;Denmark;
Köping;Sweden;
Korsnäs;Finland;
Kotka;Finland;
Kouvola;Finland;
Krakow;Poland;
Kristiinankaupunki;Finland;
Kristinehamn;Sweden;
Kruunupyy;Finland;
Kuopio;Finland;
Kuortane;Finland;
Kurkijoki;Finland;
Kuusankoski;Finland;
Kylmäkoski;Finland;
Kymi;Finland;
Kyrö;Finland;
La Chapelle-Montligeon;France;
Lahti;Finland;
Laihia;Finland;
Laihiala;Finland;
Laitila;Finland;
Lammi;Finland;
Lanark;Scotland;
Lancaster N.J;USA;
Lancaster N\.J;USA;
Lancaster NJ;USA;
Lancaster PA;USA;
Lancaster PA;USA;
Lancester PA;USA;
Landskrona;Sweden;
Langport;England;
Lansingburgh N.Y;USA;
Lansingburgh N\.Y;USA;
Lansingburgh NY;USA;
Lappeenranta;Finland;
Lapua;Finland;
La Rochelle;France;
Launceston;Australia;
Launceston;England;
Lausanne;Switzerland;
Lebanon PA;USA;
Leeds;England;
Leek;England;
Leeuwarden;Netherlands;
Le Havre;France;
Leibzig;Germany;
Leicester;England;
Leiden;Germany;
Leiden;Netherlands;
Leipzig;Germany;
Le Mans;France;
Lemgo;Germany;
Leominster;England;
Leominster MA;USA;
Leominster MA;USA;
Letchworth;England;
Leuven;Belgium;
Lewes;England;
Lewistown PA;USA;
Lexington KY;USA;
Libanon PA;USA;
Libau;Latvia;
Liege;Belgium;
Liège;Belgium;
Liepaja;Latvia;
Lille;France;
Limerick;Ireland;
Lincoln;England;
Lincolnton NC;USA;
Linköping;Sweden;
Lisbon;Portucal;
Lisbon;Portugal;
Lisburn;Northern Ireland;
Litchfield CT;USA;
Litoměřice;Czech Republic;
Litom“¿ice;Czech Republic;
Liverpool;England;
Livorno;Italy;
Llanymddyfri;England;
Llwydlo;England;
Lohja;Finland;
Lohtaja;Finland;
Loimaa;Finland;
Loimijoki;Finland;
Londonderry;Northern Ireland;
London;England;
Long Buckby;England;
Lontoo;UK;
Loreto;Italy;
Loughborough;England;
Louisville GA;USA;
Louth;England;
Louvain;Belgium;
Loviisa;Finland;
Lucca;Italy;
Ludlow;England;
Lugano;Switzerland;
Luleå;Sweden;
Lund;Sweden;
Lustleigh;England;
Lviv;Ukraine;
Lybeck;Germany;
Lymington;England;
Lynchburg VA;USA;
Lyon;France;
Lyypekki;Germany;
Maaninka;Finland;
Maarianhamina;Finland;
Maastricht;Netherlands;
Macclesfield;England;
Machynlleth;England;
Macon;France;
Madeley;England;
Madras;India;
Madras India;India;
Madrid;Spain;
Magdeburg;Germany;
Maidstone;England;
Mainz;Germany;
Malda;India;
Malmö;Sweden;
Malton;England;
Manchester;England;
Mannheim;Germany;
Mansfield;England;
Mänttä;Finland;
Mäntyharju;Finland;
Marburg;Germany;
Margate;England;
Mariehamn;Finland;
Market Harborough;England;
Market Rasen;England;
Marlborough;England;
Marseille;France;
Marseilles;France;
Martinsburg VA;USA;
Martinsburg VA;USA;
Marttila;Finland;
Mass;;
Matawan NJ;USA;
Mechelen;Belgium;
Medford MA;USA;
Medford MA;USA;
Melton Mowbray;England;
Messina;Finland;
Mexico City;Mexico;
Middelburg;Netherlands;
Middleborough MA;USA;
Middletown CT;USA;
Middlewich;England;
Mifflintown PA;USA;
Mikkeli;Finland;
Milan;Italy;
Milano;Italy;
Milborne Port;England;
Milton Abbas;England;
Milton;England;
Milton Ernest;England;
Milwaukee WI;USA;
Minneapolis MN;USA;
Minneapolis;USA;
Minorca;Spain;
Minsk;Belarus;
Monaghan;Ireland;
Monmouth;England|USA;
Monmouth NJ;USA;
Montego Bay;Jamaica;
Montpellier;France;
Montreal;Canada;
Montrose;Scotland;
Morpeth;England;
Morristown NJ;USA;
Moscow;Russia;
Moskova;Russia;
Mount Holly NJ;USA;
Mount Pleasant NJ;USA;
Mulberry Hill VA;USA;
Mullingar;Ireland;
Mumbai;India;
München;Germany;
Musselburgh;Scotland;
Mustasaari;Finland;
Mustiala;Finland;
Mustio;Finland;
Naantali;Finland;
Naas;Ireland;
Nanaimo BC;Canada;
Nancy;France;
Nantes;France;
Nantwich;England;
Naples;Italy;
Napoli;Italy;
Närpiö;Finland;
Narva;Estonia;
Nashville TN;USA;
Nassau;Bahamas;
Natchez Ms;USA;
Netherlands;Netherlands;
Neuchatel;Switzerland;
Neuruppin;Germany;
Newark;England;
Newark NJ;USA;
New Bedford MA;USA;
New Bedford MA;USA;
New Bedford Ms;USA;
New Bern NC;USA;
New Britain PA;USA;
New Brunswick NJ;USA;
Newburgh NY;USA;
Newbury;England;
Newbury MA;USA;
Newburyport MA;USA;
Newbury VT;USA;
Newbury VT;USA;
New Castle DE;USA;
Newcastle;England;
Newfield CT;USA;
Newfield CT;USA;
New Haven CT;USA;
New Haven MA;USA;
New Haven MA;USA;
Newington CT;USA;
New London CT;USA;
Newmarket;England;
New Milford CT;USA;
New Orleans La;USA;
Newport;England;
Newport Isle of Wight;England;
Newport Isle Wight;England;
Newport Pagnel;England;
Newport RI;USA;
Newry;Ireland;
Newton Abbot;England;
Newton NJ;USA;
Newton Stewart;Scotland;
Newtown PA;USA;
New Windsor NY;USA;
New York Mills MN;USA;
New York NY;USA;
New York;USA;
Niagara;Canada;
Nice;France;
Nijmegen;Netherlands;
Nizza;Italy;
Nokia;Finland;
Noormarkku;Finland;
Nora;Sweden;
Nordhausen;Germany;
Norfolk;England;
Norfolk VA;USA;
Norfolk VA;USA;
Norristown PA;USA;
Norrköping;Sweden;
North;;
Northallerton;England;
Northampton;England;
Northampton MA;USA;
Northampton MA;USA;
North Shields;England;
Northumberland PA;USA;
Northwich;England;
Norton;England;
Norton Fitzwarren;England;
Norwich CT;USA;
Norwich CT;USA;
Norwich;England;
Nothampton;England;
Nottingham;England;
Nummela;Finland;
Nuneaton ;England;
Nuneaton;England;
Nurmijärvi;Finland;
Nurnberg;Germany;
Nürnberg;Germany;
Nyköping;Sweden;
Nytorp;Sweden;
Oakham;England;
Oberwesel;Germany;
Octorara PA;USA;
Odense;Denmark;
Odessa;Ukraine;
Offenbach am Main;Germany;
Offenbach;Germany;
Oldham;England;
Omagh;Northern Ireland;
Ongar;England;
Oniipa;Namibia;
Oradea;Romania;
Örebro;Sweden;
Orimattila;Finland;
Orisberg;Finland;
Orismala;Finland;
Orivesi;Finland;
Orlingbury;England;
Ormskirk;England;
Oslo;Norway;
Ossining N.Y;USA;
Ossining N\.Y;USA;
Ossining NY;USA;
Oswestry;England;
Otava;Finland;
Ottawa;Canada;
Oulainen;Finland;
Oulu;Finland;
Oulunkylä;Finland;
Oxford;England;
Padova;Italy;
Padua;Italy;
Paimio;Finland;
Paisley;Scotland;
Palermo;Italy;
Pännäinen;Finland;
Parainen;Finland;
Paramaribo;Suriname;
Parikkala;Finland;
Paris;France|USA;
Paris KY;USA;
Parkano;Finland;
Parma;Italy;
Pärnu;Estonia;
Parr-Town;Canada;
Pathhead;Scotland;
Pattingham;England;
Peacham VT;USA;
Peacham VT;USA;
Peebles;Scotland;
Peine;Germany;
Pembroke;England;
Pembroke MA;USA;
Pembroke MA;USA;
Penrith;England;
Penryn;England;
Pensacola FL;USA;
Penzance;England;
Perho;Finland;
Perkjärvi;Finland;
Pernaja;Finland;
Perno;Finland;
Perth;Scotland;
Perugia;Italy;
Petäjävesi;Finland;
Peterborough;England;
Peterhead;Scotland;
Petersburg VA;USA;
Petersburg VA;USA;
Petersfield;England;
Petworth;England;
Philadelphia PA;USA;
Pieksämäki;Finland;
Pietari;Russia;
Pietarsaari;Finland;
Pihlava;Finland;
Piikkiö;Finland;
Pinjainen;Finland;
Pirkkala;Finland;
Pisa;Italy;
Pistoia;Finland;
Pittsburgh PA;USA;
Pittsfield MA;USA;
Plymouth;England;
Pointe-A-Pitre;Guadaloupe;
Pompton Plains NJ;USA;
Pondicherry;India;
Pontefract;England;
Poole;England;
Pori;Finland;
Port Arthur ON;Canada;
Port-au-Prince;Haiti;
Porth Arthur ON;USA;
Portland ME;USA;
Portland OR;USA;
Port-of-Spain;Trinidad and Tobago;
Porto;Portugal;
Portsea;Australia;
Portsmouth;England;
Portsmouth;England|USA;
Portsmouth N.H;USA;
Portsmouth N\.H;USA;
Portsmouth NH;USA;
Porvoo;Finland;
Potsdam;Germany;
Poughkeepsie N.Y;USA;
Poughkeepsie N\.Y;USA;
Poughkeepsie NY;USA;
Poulton-le-Fylde;England;
Poznan;Poland;
Prague;Czech Republic;
Prescot;England;
Preston;England;
Princeton NJ;USA;
Providence R.I;USA;
Providence R\.I;USA;
Providence RI;USA;
Puducherry;India;
Purleigh;England;
Putney VT;USA;
Putney VT;USA;
Queb_ec;Canada;
Quebec;Canada;
Quedlinburg;Germany;
Quincy MA;USA;
Raahe;Finland;
Rääkkylä;Finland;
Räisälä;Finland;
Raisio;Finland;
Raleigh N.C;USA;
Raleigh N\.C;USA;
Raleigh NC;USA;
Ramsey;England;
Ramsgate;England;
Randolph VT;USA;
Rantasalmi;Finland;
Rauma;Finland;
Rautalampi;Finland;
Rautio;Finland;
Ravenna;Italy;
Reading;England;
Reading;England|USA;
Reading PA;USA;
Reading PA;USA;
Red Jacket MI;USA;
Red Lodge MT;USA;
Redruth;England;
Regensburg;Germany;
Reigate;England;
Reims;Belgium;
Reims;France;
Reims;Netherlands;
Rennes;France;
Retford;England;
Reykjavik;Iceland;
Rhaglan;England;
Richmond;England|USA;
Richmond VA;USA;
Richmond VA;USA;
Riga;Latvia;
Riika;Latvia;
Ringwood;England;
Ripon;England;
Rochdale;England;
Rochester;England;
Rock Island IL;USA;
Rock Springs WY;USA;
Rodborough;England;
Rome;Italy;
Rome;Italy|USA;
Rome NY;USA;
Romford;England;
Romsey;England;
Ronneburg;Germany;
Rooma;Italy;
Roscrea;Ireland;
Roseau Dominica;Dominica;
Rostock;Germany;
Rotherham;England;
Rotterdam;Netherlands;
Rouen;France;
Rousham;England;
Rovaniemi;Finland;
Royal Tunbridge Wells;England;
Royston;England;
Rugby;England;
Rugeley;England;
Rutland VT;USA;
Rye;England;
Sääksmäki;Finland;
Saarbrucken;Germany;
Saarijärvi;Finland;
Saffron Walden;England;
Sag Harbour NY;USA;
Saint-Germain-en-Laye;France;
Saint John;Canada;
Saint-Malo;France;
Saint-Marie;Martinique;
Sairala;Finland;
Säkkijärvi;Finland;
Sakkola;Finland;
